T;dT;x;y;z
2497565.5;2126-Jan-01 00:00:00;-1.78E+08;3.02E+08;2.65E+08
2497566.5;2126-Jan-02 00:00:00;-1.76E+08;3.01E+08;2.65E+08
2497567.5;2126-Jan-03 00:00:00;-1.75E+08;2.99E+08;2.65E+08
2497568.5;2126-Jan-04 00:00:00;-1.73E+08;2.98E+08;2.65E+08
2497569.5;2126-Jan-05 00:00:00;-1.72E+08;2.97E+08;2.65E+08
2497570.5;2126-Jan-06 00:00:00;-1.70E+08;2.95E+08;2.64E+08
2497571.5;2126-Jan-07 00:00:00;-1.69E+08;2.94E+08;2.64E+08
2497572.5;2126-Jan-08 00:00:00;-1.67E+08;2.92E+08;2.64E+08
2497573.5;2126-Jan-09 00:00:00;-1.66E+08;2.91E+08;2.64E+08
2497574.5;2126-Jan-10 00:00:00;-1.64E+08;2.90E+08;2.64E+08
2497575.5;2126-Jan-11 00:00:00;-1.63E+08;2.88E+08;2.63E+08
2497576.5;2126-Jan-12 00:00:00;-1.61E+08;2.87E+08;2.63E+08
2497577.5;2126-Jan-13 00:00:00;-1.60E+08;2.85E+08;2.63E+08
2497578.5;2126-Jan-14 00:00:00;-1.58E+08;2.84E+08;2.63E+08
2497579.5;2126-Jan-15 00:00:00;-1.57E+08;2.82E+08;2.62E+08
2497580.5;2126-Jan-16 00:00:00;-1.55E+08;2.81E+08;2.62E+08
2497581.5;2126-Jan-17 00:00:00;-1.53E+08;2.79E+08;2.62E+08
2497582.5;2126-Jan-18 00:00:00;-1.52E+08;2.78E+08;2.62E+08
2497583.5;2126-Jan-19 00:00:00;-1.50E+08;2.77E+08;2.62E+08
2497584.5;2126-Jan-20 00:00:00;-1.49E+08;2.75E+08;2.61E+08
2497585.5;2126-Jan-21 00:00:00;-1.47E+08;2.74E+08;2.61E+08
2497586.5;2126-Jan-22 00:00:00;-1.46E+08;2.72E+08;2.61E+08
2497587.5;2126-Jan-23 00:00:00;-1.44E+08;2.71E+08;2.61E+08
2497588.5;2126-Jan-24 00:00:00;-1.43E+08;2.69E+08;2.60E+08
2497589.5;2126-Jan-25 00:00:00;-1.41E+08;2.68E+08;2.60E+08
2497590.5;2126-Jan-26 00:00:00;-1.39E+08;2.66E+08;2.60E+08
2497591.5;2126-Jan-27 00:00:00;-1.38E+08;2.65E+08;2.59E+08
2497592.5;2126-Jan-28 00:00:00;-1.36E+08;2.63E+08;2.59E+08
2497593.5;2126-Jan-29 00:00:00;-1.35E+08;2.62E+08;2.59E+08
2497594.5;2126-Jan-30 00:00:00;-1.33E+08;2.60E+08;2.59E+08
2497595.5;2126-Jan-31 00:00:00;-1.32E+08;2.59E+08;2.58E+08
2497596.5;2126-Feb-01 00:00:00;-1.30E+08;2.57E+08;2.58E+08
2497597.5;2126-Feb-02 00:00:00;-1.28E+08;2.56E+08;2.58E+08
2497598.5;2126-Feb-03 00:00:00;-1.27E+08;2.54E+08;2.57E+08
2497599.5;2126-Feb-04 00:00:00;-1.25E+08;2.53E+08;2.57E+08
2497600.5;2126-Feb-05 00:00:00;-1.24E+08;2.51E+08;2.57E+08
2497601.5;2126-Feb-06 00:00:00;-1.22E+08;2.50E+08;2.56E+08
2497602.5;2126-Feb-07 00:00:00;-1.20E+08;2.48E+08;2.56E+08
2497603.5;2126-Feb-08 00:00:00;-1.19E+08;2.47E+08;2.56E+08
2497604.5;2126-Feb-09 00:00:00;-1.17E+08;2.45E+08;2.55E+08
2497605.5;2126-Feb-10 00:00:00;-1.16E+08;2.43E+08;2.55E+08
2497606.5;2126-Feb-11 00:00:00;-1.14E+08;2.42E+08;2.55E+08
2497607.5;2126-Feb-12 00:00:00;-1.12E+08;2.40E+08;2.54E+08
2497608.5;2126-Feb-13 00:00:00;-1.11E+08;2.39E+08;2.54E+08
2497609.5;2126-Feb-14 00:00:00;-1.09E+08;2.37E+08;2.54E+08
2497610.5;2126-Feb-15 00:00:00;-1.08E+08;2.36E+08;2.53E+08
2497611.5;2126-Feb-16 00:00:00;-1.06E+08;2.34E+08;2.53E+08
2497612.5;2126-Feb-17 00:00:00;-1.04E+08;2.32E+08;2.53E+08
2497613.5;2126-Feb-18 00:00:00;-1.03E+08;2.31E+08;2.52E+08
2497614.5;2126-Feb-19 00:00:00;-1.01E+08;2.29E+08;2.52E+08
2497615.5;2126-Feb-20 00:00:00;-9.96E+07;2.28E+08;2.51E+08
2497616.5;2126-Feb-21 00:00:00;-9.80E+07;2.26E+08;2.51E+08
2497617.5;2126-Feb-22 00:00:00;-9.63E+07;2.24E+08;2.51E+08
2497618.5;2126-Feb-23 00:00:00;-9.47E+07;2.23E+08;2.50E+08
2497619.5;2126-Feb-24 00:00:00;-9.31E+07;2.21E+08;2.50E+08
2497620.5;2126-Feb-25 00:00:00;-9.14E+07;2.20E+08;2.49E+08
2497621.5;2126-Feb-26 00:00:00;-8.98E+07;2.18E+08;2.49E+08
2497622.5;2126-Feb-27 00:00:00;-8.82E+07;2.16E+08;2.49E+08
2497623.5;2126-Feb-28 00:00:00;-8.65E+07;2.15E+08;2.48E+08
2497624.5;2126-Mar-01 00:00:00;-8.49E+07;2.13E+08;2.48E+08
2497625.5;2126-Mar-02 00:00:00;-8.32E+07;2.11E+08;2.47E+08
2497626.5;2126-Mar-03 00:00:00;-8.16E+07;2.10E+08;2.47E+08
2497627.5;2126-Mar-04 00:00:00;-8.00E+07;2.08E+08;2.46E+08
2497628.5;2126-Mar-05 00:00:00;-7.83E+07;2.06E+08;2.46E+08
2497629.5;2126-Mar-06 00:00:00;-7.67E+07;2.05E+08;2.45E+08
2497630.5;2126-Mar-07 00:00:00;-7.50E+07;2.03E+08;2.45E+08
2497631.5;2126-Mar-08 00:00:00;-7.33E+07;2.01E+08;2.44E+08
2497632.5;2126-Mar-09 00:00:00;-7.17E+07;2.00E+08;2.44E+08
2497633.5;2126-Mar-10 00:00:00;-7.00E+07;1.98E+08;2.43E+08
2497634.5;2126-Mar-11 00:00:00;-6.84E+07;1.96E+08;2.43E+08
2497635.5;2126-Mar-12 00:00:00;-6.67E+07;1.95E+08;2.42E+08
2497636.5;2126-Mar-13 00:00:00;-6.50E+07;1.93E+08;2.42E+08
2497637.5;2126-Mar-14 00:00:00;-6.34E+07;1.91E+08;2.41E+08
2497638.5;2126-Mar-15 00:00:00;-6.17E+07;1.89E+08;2.41E+08
2497639.5;2126-Mar-16 00:00:00;-6.00E+07;1.88E+08;2.40E+08
2497640.5;2126-Mar-17 00:00:00;-5.84E+07;1.86E+08;2.40E+08
2497641.5;2126-Mar-18 00:00:00;-5.67E+07;1.84E+08;2.39E+08
2497642.5;2126-Mar-19 00:00:00;-5.50E+07;1.82E+08;2.39E+08
2497643.5;2126-Mar-20 00:00:00;-5.33E+07;1.81E+08;2.38E+08
2497644.5;2126-Mar-21 00:00:00;-5.16E+07;1.79E+08;2.37E+08
2497645.5;2126-Mar-22 00:00:00;-5.00E+07;1.77E+08;2.37E+08
2497646.5;2126-Mar-23 00:00:00;-4.83E+07;1.75E+08;2.36E+08
2497647.5;2126-Mar-24 00:00:00;-4.66E+07;1.74E+08;2.36E+08
2497648.5;2126-Mar-25 00:00:00;-4.49E+07;1.72E+08;2.35E+08
2497649.5;2126-Mar-26 00:00:00;-4.32E+07;1.70E+08;2.34E+08
2497650.5;2126-Mar-27 00:00:00;-4.15E+07;1.68E+08;2.34E+08
2497651.5;2126-Mar-28 00:00:00;-3.98E+07;1.66E+08;2.33E+08
2497652.5;2126-Mar-29 00:00:00;-3.81E+07;1.64E+08;2.32E+08
2497653.5;2126-Mar-30 00:00:00;-3.64E+07;1.63E+08;2.32E+08
2497654.5;2126-Mar-31 00:00:00;-3.47E+07;1.61E+08;2.31E+08
2497655.5;2126-Apr-01 00:00:00;-3.30E+07;1.59E+08;2.30E+08
2497656.5;2126-Apr-02 00:00:00;-3.13E+07;1.57E+08;2.30E+08
2497657.5;2126-Apr-03 00:00:00;-2.96E+07;1.55E+08;2.29E+08
2497658.5;2126-Apr-04 00:00:00;-2.79E+07;1.53E+08;2.28E+08
2497659.5;2126-Apr-05 00:00:00;-2.62E+07;1.52E+08;2.27E+08
2497660.5;2126-Apr-06 00:00:00;-2.45E+07;1.50E+08;2.27E+08
2497661.5;2126-Apr-07 00:00:00;-2.28E+07;1.48E+08;2.26E+08
2497662.5;2126-Apr-08 00:00:00;-2.11E+07;1.46E+08;2.25E+08
2497663.5;2126-Apr-09 00:00:00;-1.94E+07;1.44E+08;2.24E+08
2497664.5;2126-Apr-10 00:00:00;-1.77E+07;1.42E+08;2.24E+08
2497665.5;2126-Apr-11 00:00:00;-1.59E+07;1.40E+08;2.23E+08
2497666.5;2126-Apr-12 00:00:00;-1.42E+07;1.38E+08;2.22E+08
2497667.5;2126-Apr-13 00:00:00;-1.25E+07;1.36E+08;2.21E+08
2497668.5;2126-Apr-14 00:00:00;-1.08E+07;1.34E+08;2.20E+08
2497669.5;2126-Apr-15 00:00:00;-9.08E+06;1.32E+08;2.19E+08
2497670.5;2126-Apr-16 00:00:00;-7.37E+06;1.31E+08;2.19E+08
2497671.5;2126-Apr-17 00:00:00;-5.65E+06;1.29E+08;2.18E+08
2497672.5;2126-Apr-18 00:00:00;-3.93E+06;1.27E+08;2.17E+08
2497673.5;2126-Apr-19 00:00:00;-2.21E+06;1.25E+08;2.16E+08
2497674.5;2126-Apr-20 00:00:00;-4.97E+05;1.23E+08;2.15E+08
2497675.5;2126-Apr-21 00:00:00;1.22E+06;1.21E+08;2.14E+08
2497676.5;2126-Apr-22 00:00:00;2.94E+06;1.19E+08;2.13E+08
2497677.5;2126-Apr-23 00:00:00;4.65E+06;1.17E+08;2.12E+08
2497678.5;2126-Apr-24 00:00:00;6.37E+06;1.15E+08;2.11E+08
2497679.5;2126-Apr-25 00:00:00;8.09E+06;1.13E+08;2.10E+08
2497680.5;2126-Apr-26 00:00:00;9.80E+06;1.11E+08;2.09E+08
2497681.5;2126-Apr-27 00:00:00;1.15E+07;1.09E+08;2.08E+08
2497682.5;2126-Apr-28 00:00:00;1.32E+07;1.06E+08;2.07E+08
2497683.5;2126-Apr-29 00:00:00;1.49E+07;1.04E+08;2.06E+08
2497684.5;2126-Apr-30 00:00:00;1.67E+07;1.02E+08;2.05E+08
2497685.5;2126-May-01 00:00:00;1.84E+07;1.00E+08;2.04E+08
2497686.5;2126-May-02 00:00:00;2.01E+07;9.82E+07;2.03E+08
2497687.5;2126-May-03 00:00:00;2.18E+07;9.61E+07;2.02E+08
2497688.5;2126-May-04 00:00:00;2.35E+07;9.40E+07;2.01E+08
2497689.5;2126-May-05 00:00:00;2.52E+07;9.19E+07;1.99E+08
2497690.5;2126-May-06 00:00:00;2.69E+07;8.98E+07;1.98E+08
2497691.5;2126-May-07 00:00:00;2.86E+07;8.76E+07;1.97E+08
2497692.5;2126-May-08 00:00:00;3.03E+07;8.55E+07;1.96E+08
2497693.5;2126-May-09 00:00:00;3.20E+07;8.34E+07;1.95E+08
2497694.5;2126-May-10 00:00:00;3.37E+07;8.12E+07;1.93E+08
2497695.5;2126-May-11 00:00:00;3.54E+07;7.91E+07;1.92E+08
2497696.5;2126-May-12 00:00:00;3.70E+07;7.69E+07;1.91E+08
2497697.5;2126-May-13 00:00:00;3.87E+07;7.47E+07;1.89E+08
2497698.5;2126-May-14 00:00:00;4.04E+07;7.25E+07;1.88E+08
2497699.5;2126-May-15 00:00:00;4.21E+07;7.03E+07;1.87E+08
2497700.5;2126-May-16 00:00:00;4.37E+07;6.81E+07;1.85E+08
2497701.5;2126-May-17 00:00:00;4.54E+07;6.59E+07;1.84E+08
2497702.5;2126-May-18 00:00:00;4.70E+07;6.37E+07;1.83E+08
2497703.5;2126-May-19 00:00:00;4.87E+07;6.15E+07;1.81E+08
2497704.5;2126-May-20 00:00:00;5.03E+07;5.93E+07;1.80E+08
2497705.5;2126-May-21 00:00:00;5.20E+07;5.70E+07;1.78E+08
2497706.5;2126-May-22 00:00:00;5.36E+07;5.48E+07;1.77E+08
2497707.5;2126-May-23 00:00:00;5.52E+07;5.25E+07;1.75E+08
2497708.5;2126-May-24 00:00:00;5.68E+07;5.03E+07;1.73E+08
2497709.5;2126-May-25 00:00:00;5.84E+07;4.80E+07;1.72E+08
2497710.5;2126-May-26 00:00:00;6.00E+07;4.57E+07;1.70E+08
2497711.5;2126-May-27 00:00:00;6.16E+07;4.34E+07;1.69E+08
2497712.5;2126-May-28 00:00:00;6.32E+07;4.11E+07;1.67E+08
2497713.5;2126-May-29 00:00:00;6.48E+07;3.89E+07;1.65E+08
2497714.5;2126-May-30 00:00:00;6.63E+07;3.65E+07;1.64E+08
2497715.5;2126-May-31 00:00:00;6.79E+07;3.42E+07;1.62E+08
2497716.5;2126-Jun-01 00:00:00;6.94E+07;3.19E+07;1.60E+08
2497717.5;2126-Jun-02 00:00:00;7.09E+07;2.96E+07;1.58E+08
2497718.5;2126-Jun-03 00:00:00;7.24E+07;2.73E+07;1.56E+08
2497719.5;2126-Jun-04 00:00:00;7.39E+07;2.49E+07;1.55E+08
2497720.5;2126-Jun-05 00:00:00;7.54E+07;2.26E+07;1.53E+08
2497721.5;2126-Jun-06 00:00:00;7.68E+07;2.03E+07;1.51E+08
2497722.5;2126-Jun-07 00:00:00;7.83E+07;1.79E+07;1.49E+08
2497723.5;2126-Jun-08 00:00:00;7.97E+07;1.56E+07;1.47E+08
2497724.5;2126-Jun-09 00:00:00;8.11E+07;1.32E+07;1.45E+08
2497725.5;2126-Jun-10 00:00:00;8.25E+07;1.09E+07;1.43E+08
2497726.5;2126-Jun-11 00:00:00;8.39E+07;8.51E+06;1.41E+08
2497727.5;2126-Jun-12 00:00:00;8.53E+07;6.15E+06;1.38E+08
2497728.5;2126-Jun-13 00:00:00;8.66E+07;3.79E+06;1.36E+08
2497729.5;2126-Jun-14 00:00:00;8.80E+07;1.42E+06;1.34E+08
2497730.5;2126-Jun-15 00:00:00;8.93E+07;-9.37E+05;1.32E+08
2497731.5;2126-Jun-16 00:00:00;9.05E+07;-3.30E+06;1.30E+08
2497732.5;2126-Jun-17 00:00:00;9.18E+07;-5.66E+06;1.27E+08
2497733.5;2126-Jun-18 00:00:00;9.30E+07;-8.02E+06;1.25E+08
2497734.5;2126-Jun-19 00:00:00;9.42E+07;-1.04E+07;1.23E+08
2497735.5;2126-Jun-20 00:00:00;9.54E+07;-1.27E+07;1.20E+08
2497736.5;2126-Jun-21 00:00:00;9.66E+07;-1.51E+07;1.18E+08
2497737.5;2126-Jun-22 00:00:00;9.77E+07;-1.74E+07;1.16E+08
2497738.5;2126-Jun-23 00:00:00;9.88E+07;-1.98E+07;1.13E+08
2497739.5;2126-Jun-24 00:00:00;9.99E+07;-2.21E+07;1.11E+08
2497740.5;2126-Jun-25 00:00:00;1.01E+08;-2.44E+07;1.08E+08
2497741.5;2126-Jun-26 00:00:00;1.02E+08;-2.68E+07;1.06E+08
2497742.5;2126-Jun-27 00:00:00;1.03E+08;-2.91E+07;1.03E+08
2497743.5;2126-Jun-28 00:00:00;1.04E+08;-3.14E+07;1.00E+08
2497744.5;2126-Jun-29 00:00:00;1.05E+08;-3.37E+07;9.77E+07
2497745.5;2126-Jun-30 00:00:00;1.06E+08;-3.60E+07;9.50E+07
2497746.5;2126-Jul-01 00:00:00;1.07E+08;-3.82E+07;9.23E+07
2497747.5;2126-Jul-02 00:00:00;1.07E+08;-4.05E+07;8.95E+07
2497748.5;2126-Jul-03 00:00:00;1.08E+08;-4.27E+07;8.67E+07
